LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
030516-ML,nonprod,"1-10,9",NA,10,10,NA,NA,NA,NA,NA,
030817-AB,prod,"1-30,31-69,30,no,70,71-86,85,86,87-100,102",NA,99,99,NA,NA,NA,NA,NA,
030817-N,prod,"1-20,21-59,90,no,[59]60-100,101,102,103-119",NA,99,99,NA,NA,NA,NA,NA,
030817-SRM,prod,"1-76,79,[75,76],77-100,101-109,1 million",NA,76,99,NA,NA,77,77,NA,
030817-VK,prod,1-109,"[110],111-120",99,99,NA,NA,NA,NA,NA,
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,40,65,66,"40,50,60,70,80,90",
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,50,NA,NA,"40,50,60,70,80,90",
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,60,NA,NA,"40,50,60,70,80,90",
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,70,NA,NA,"40,50,60,70,80,90",
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,80,NA,NA,"40,50,60,70,80,90",
030817-ZI,prod,1-39.,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,90,NA,NA,"40,50,60,70,80,90",
031516-A,nonprod,"1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,21,23,NA,
031516-A,nonprod,"1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,31,40,NA,
031516-A,nonprod,"1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,50,59,NA,
031616-RP,nonprod,"1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,20,20,NA,
031616-RP,nonprod,"1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,25,25,NA,
032216-HR,nonprod,"1-15,17-20,40,how about 30,79",NA,15,20,NA,NA,16,16,NA,
032216-JH,nonprod,"1-20,twenty-11,-twenty-15",NA,20,20,NA,NA,NA,NA,NA,
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,40,NA,NA,"40,50,60,70,80,90",
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,50,NA,NA,"40,50,60,70,80,90",
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,60,NA,NA,"40,50,60,70,80,90",
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,70,NA,NA,"40,50,60,70,80,90",
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,80,NA,NA,"40,50,60,70,80,90",
032216-LC,prod,"1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,90,NA,NA,"40,50,60,70,80,90",
032216-RC,nonprod,"1-14,17,18",NA,14,14,NA,NA,NA,NA,NA,
032216-RSL,nonprod,1-38.,NA,38,38,NA,NA,NA,NA,NA,
032317-AS,nonprod,"1-39, thirty ten",[40] IDK,39,39,39,40,NA,NA,40,
040317-AL,nonprod,"1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,16,16,NA,
040317-AL,nonprod,"1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,20,20,NA,
040317-AL,nonprod,"1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,26,27,NA,
040317-E,nonprod,"1-14,16-21,2,3,4,5[20,21]22-29",[30]idk,14,29,29,30,15,15,30,
040317-HN,prod,"1-29,80,81[experimenter stopped]","[30]31-90,92-99,80[100]idk",29,99,29,30,91,91,30,
040317-KK,prod,1-69.,"[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,70,NA,NA,"70,80,90",
040317-KK,prod,1-69.,"[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,80,NA,NA,"70,80,90",
040317-KK,prod,1-69.,"[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,90,NA,NA,"70,80,90",
040317-SL,prod,"1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,30,15,15,"30,40,50",
040317-SL,prod,"1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,40,NA,NA,"30,40,50",
040317-SL,prod,"1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,50,NA,NA,"30,40,50",
040317-TAM,prod,"1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,60,31,40,"60,70,80,90",
040317-TAM,prod,"1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,70,NA,NA,"60,70,80,90",
040317-TAM,prod,"1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,80,NA,NA,"60,70,80,90",
040317-TAM,prod,"1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,90,NA,NA,"60,70,80,90",
040616-K,nonprod,"1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,13,13,NA,
040616-K,nonprod,"1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,15,15,NA,
040616-KH,nonprod,"1-36,39","[40],41-44",36,44,39,40,37,38,40,
040616-MP,prod,"1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,50,34,43,"50,60,70,80",
040616-MP,prod,"1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,60,76,76,"50,60,70,80",
040616-MP,prod,"1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,70,NA,NA,"50,60,70,80",
040616-MP,prod,"1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,80,NA,NA,"50,60,70,80",
041217-AD,prod,"1-77,79-87,89-100,idk",NA,77,99,NA,NA,78,78,NA,
041217-AD,prod,"1-77,79-87,89-100,idk",NA,77,99,NA,NA,88,88,NA,
041217-KA,prod,"1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,50,30,39,"50,60,70,80,90",
041217-KA,prod,"1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,60,66,67,"50,60,70,80,90",
041217-KA,prod,"1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,70,NA,NA,"50,60,70,80,90",
041217-KA,prod,"1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,80,NA,NA,"50,60,70,80,90",
041217-KA,prod,"1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,90,NA,NA,"50,60,70,80,90",
041218-JH,prod,1--49,"[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,50,NA,NA,"50,60,70,80,90",
041218-JH,prod,1--49,"[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,60,NA,NA,"50,60,70,80,90",
041218-JH,prod,1--49,"[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,70,NA,NA,"50,60,70,80,90",
041218-JH,prod,1--49,"[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,80,NA,NA,"50,60,70,80,90",
041218-JH,prod,1--49,"[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,90,NA,NA,"50,60,70,80,90",
041218-MM,prod,1-100,[101] NR,99,99,NA,NA,NA,NA,NA,
041316-AP,nonprod,"1-29,21,22,11","[30],22",29,29,29,30,NA,NA,30,
041316-AR,nonprod,"1-5,1",NA,5,5,NA,NA,NA,NA,NA,
