"","LadlabID","Sex","Age","AgeGroup","AgeMonths","HCReceivedSupport","IHC","DCE","FHC","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary"
"111","infinity-146","f",5.87,"5.5-6y",70,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"112","infinity-147","f",5.69,"5.5-6y",68,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"113","infinity-148","f",5.8,"5.5-6y",69,NA,99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"114","infinity-149","m",5.69,"5.5-6y",68,NA,99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"115","infinity-150","f",5.84,"5.5-6y",70,NA,99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"116","infinity-151","m",5.84,"5.5-6y",70,NA,99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"117","infinity-152","f",5.71,"5.5-6y",68,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"118","infinity-153","f",5.57,"5.5-6y",66,NA,99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"119","infinity-154","f",5.87,"5.5-6y",70,"1",59,59,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"120","infinity-155","f",5.99,"5.5-6y",71,"1",79,79,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"121","infinity-156","f",5.53,"5.5-6y",66,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"122","infinity-157","f",5.99,"5.5-6y",71,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
