"","LadlabID","subID","productivity","spon.raw","sup.raw","ihc","fhc","dce","decadeprompt","error.start","error.end","alldecadesprompted","notes"
"127","infinity-100","81","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,60,NA,NA,"60,80,90",""
"128","infinity-100","81","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,80,NA,NA,"60,80,90",""
"129","infinity-100","81","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,90,NA,NA,"60,80,90",""
"130","infinity-101","57","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,40,NA,NA,"40,50,60,70",""
"131","infinity-101","57","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,50,NA,NA,"40,50,60,70",""
"132","infinity-101","57","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,60,NA,NA,"40,50,60,70",""
"133","infinity-101","57","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,70,NA,NA,"40,50,60,70",""
"134","infinity-103","83","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,64,64,NA,""
"135","infinity-103","83","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,84,87,NA,""
"136","infinity-103","83","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,94,99,NA,""
"137","infinity-105","104","prod","1-120 (could keep going)",NA,99,99,NA,NA,NA,NA,NA,""
"138","infinity-106","105","prod","1-109,big pause,110-120[experimenter stopped]",NA,99,99,NA,NA,NA,NA,NA,""
"139","infinity-107","68","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,50,66,66,"50,60,70,80,90",""
"140","infinity-107","68","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,60,78,78,"50,60,70,80,90",""
"141","infinity-107","68","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,70,95,98,"50,60,70,80,90",""
"142","infinity-107","68","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,80,NA,NA,"50,60,70,80,90",""
"143","infinity-107","68","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,90,NA,NA,"50,60,70,80,90",""
"144","infinity-108","39","nonprod","1-29,18,19,20[29],30,40,50,16-29","[30]11",29,29,29,30,NA,NA,"30",""
"145","infinity-109","40","nonprod","1-29,28,27","[30]",29,29,29,30,NA,NA,"30",""
"146","infinity-110","69","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,50,88,88,"50,60,70,90",""
"147","infinity-110","69","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,60,NA,NA,"50,60,70,90",""
"148","infinity-110","69","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,70,NA,NA,"50,60,70,90",""
"149","infinity-110","69","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,90,NA,NA,"50,60,70,90",""
